"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"10-Feb-2020","    16481.50","    16522.40","    16306.25","    16431.90","       18044996","         1489.67"
"11-Feb-2020","    16482.40","    16512.10","    16409.15","    16452.30","       16987352","         1267.17"
"12-Feb-2020","    16462.25","    16599.05","    16419.45","    16538.10","       18606682","         1393.27"
"13-Feb-2020","    16578.75","    16696.85","    16513.75","    16673.05","       18884410","         1492.80"
"14-Feb-2020","    16682.30","    16828.20","    16624.25","    16642.75","       19636956","         1634.46"
"17-Feb-2020","    16707.65","    16737.65","    16596.20","    16647.70","       13895849","         1241.06"
"18-Feb-2020","    16586.90","    16773.20","    16526.40","    16748.75","       20798165","         1817.24"
"19-Feb-2020","    16796.40","    16882.45","    16754.25","    16772.45","       16905540","         1467.37"
"20-Feb-2020","    16826.30","    16843.65","    16623.90","    16649.40","       20306178","         1757.97"
"24-Feb-2020","    16642.75","    16749.25","    16416.85","    16461.80","       23422521","         2023.35"
"25-Feb-2020","    16490.40","    16642.40","    16443.25","    16562.50","       25320628","         2212.93"
"26-Feb-2020","    16497.15","    16539.25","    16297.25","    16332.25","       26844091","         2193.97"
"27-Feb-2020","    16244.95","    16258.65","    16053.70","    16123.80","       24504768","         1889.10"
"28-Feb-2020","    15726.15","    15788.45","    15156.80","    15212.95","       42938991","         3355.36"
"02-Mar-2020","    15355.05","    15722.00","    15298.00","    15427.65","       36517724","         2739.82"
"03-Mar-2020","    15615.05","    15793.10","    15495.70","    15723.20","       29631724","         2394.91"
"04-Mar-2020","    15824.90","    15919.95","    15612.75","    15864.30","       32079819","         2600.65"
"05-Mar-2020","    15912.05","    16150.60","    15841.10","    15871.35","       26935544","         2328.27"
"06-Mar-2020","    15607.35","    15699.95","    15443.00","    15663.45","       26044423","         2019.43"
"09-Mar-2020","    15333.55","    15371.00","    14705.40","    14854.90","       36824488","         2743.30"
"11-Mar-2020","    14524.15","    14823.80","    14356.10","    14681.40","       43270683","         3498.74"
"12-Mar-2020","    14177.40","    14231.95","    13317.65","    13384.80","       42866258","         3442.76"
"13-Mar-2020","    12561.95","    13835.35","    11624.85","    13539.10","       47446373","         3454.27"
